窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
10,10,0.7579881979516695,1,rsi14:18% | j:41% | vol_ratio:41%,51.6,57.1,48.3,53%±2,0.88,1.34,1.53,53.4,47.1,51.4,258,105,172,47.6
30,3,0.6636091050945327,3,rsi14:30% | j:40% | vol_ratio:30%,51.7,58.7,43.8,54%±2,0.89,1.35,1.52,51.9,42.6,47.2,145,75,105,47.4
5,10,0.6637244117329306,3,rsi14:21% | j:45% | vol_ratio:34%,54.8,55.4,51.9,55%±1,0.87,1.33,1.53,51.9,49,51.4,292,148,210,47.4
5,3,0.6766573643566597,3,rsi14:24% | j:42% | vol_ratio:34%,54.1,54.6,51.9,54%±1,0.87,1.33,1.53,51.7,51,51.7,294,152,208,46.7
5,15,0.6692233474298797,3,rsi14:24% | j:42% | vol_ratio:34%,54.1,54.6,51.9,54%±1,0.87,1.33,1.53,51.7,51,51.7,294,152,206,46.7
