窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
5,15,0.9277169000842497,3,rsi14:53% | j:37% | vol_ratio:10%,59,59.6,52.6,60%±1,0.87,1.32,1.51,55.8,58.2,50,295,141,175,51.3
5,3,0.859383955934245,3,rsi14:54% | j:36% | vol_ratio:10%,57.9,58.3,53.5,58%±1,0.89,1.35,1.52,55,57.2,50.9,309,151,187,50.3
5,10,0.9263470041682975,3,rsi14:51% | j:39% | vol_ratio:10%,59.5,57.8,52,59%±1,0.87,1.32,1.51,56.4,56.8,50.1,291,147,175,49.7
5,5,0.9260697498067492,3,rsi14:52% | j:38% | vol_ratio:10%,59.5,56.4,50.8,59%±1,0.87,1.32,1.51,56.2,56.3,49.9,289,149,177,48.4
20,3,0.8665041214868401,3,rsi14:38% | j:26% | vol_ratio:36%,50,61.4,53.5,51%±5,0.96,1.69,1.74,50.7,45.1,46.8,46,44,71,46.6
