窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
10,15,0.6791507963173783,1,rsi14:36% | j:1% | vol_ratio:63%,56.1,56.5,49.4,55%±2,0.48,0.74,1.44,51.6,49.8,49,262,108,156,47.1
10,3,0.7937351018080594,1,rsi14:37% | j:2% | vol_ratio:60%,54.9,55.5,48.8,54%±2,0.49,0.74,1.43,51.7,49.8,48.7,266,110,160,46.1
10,5,0.6836913562797483,1,rsi14:37% | j:2% | vol_ratio:61%,55.4,55.4,49.4,54%±2,0.49,0.74,1.43,51.9,50.2,48.9,276,112,160,46.1
10,10,0.673931826627685,1,rsi14:37% | j:3% | vol_ratio:61%,54.8,54.4,48.8,54%±2,0.49,0.74,1.43,52.2,49.8,48.9,270,114,162,45.2
5,15,0.7876867603532509,1,rsi14:32% | j:58% | vol_ratio:10%,49.8,53.5,52.1,51%±2,0.48,0.74,1.44,55,51.3,48.1,313,127,194,44.9
