窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
10,10,0.7816634970662375,1,rsi14:33% | j:1% | vol_ratio:66%,55.3,61.1,49.4,56%±1,1.54,2.65,3.41,52.4,52.5,49.9,264,108,156,51.7
10,15,0.7423364725431196,1,rsi14:42% | j:3% | vol_ratio:55%,56.2,60.6,49.1,57%±0,1.54,2.65,3.41,52.9,51.5,49.1,272,104,165,51
10,3,0.7030058007604439,1,rsi14:36% | j:2% | vol_ratio:61%,55.1,59.8,48.1,56%±0,1.54,2.65,3.41,52.9,51.8,48.9,272,112,160,50.6
10,5,0.7847583289897341,1,rsi14:20% | j:35% | vol_ratio:45%,52.7,59.6,48.9,55%±2,1.54,2.65,3.42,52.1,49.3,50.6,260,109,174,50.2
5,3,0.8996089507824254,1,rsi14:55% | j:31% | vol_ratio:14%,49.5,55,54,51%±3,1.54,2.67,3.39,52,53.9,50.7,305,131,176,46.4
