窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
5,15,0.9101685592503892,1,rsi14:39% | j:40% | vol_ratio:21%,51.9,56.9,51.7,54%±3,0.44,0.67,1.41,52.7,55.4,52.2,287,123,201,48.1
5,10,0.6832991115271978,1,rsi14:35% | j:49% | vol_ratio:16%,51.9,56.8,52.8,53%±3,0.49,0.74,1.43,54.5,55.2,52,295,125,212,48
10,15,0.7798679350549844,1,rsi14:22% | j:35% | vol_ratio:43%,52.7,57.1,48.3,53%±1,0.49,0.74,1.43,52.2,47.4,49.8,262,105,174,47.6
5,5,0.918014489766479,1,rsi14:38% | j:42% | vol_ratio:20%,52.3,56.4,52,54%±2,0.44,0.67,1.4,53.2,53.6,52.3,285,117,204,47.4
10,10,0.9230681182768673,5,rsi14:29% | j:4% | vol_ratio:66%,60.3,61.2,51,58%±5,0.64,1.04,1.51,57.2,51.1,52.8,58,49,102,47.2
