窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
5,5,0.7567710140364307,1,rsi14:30% | j:54% | vol_ratio:16%,52.6,56,54.5,54%±2,0.53,0.84,1.4,54.8,52.5,51.3,211,91,156,45.8
20,15,0.7124525634945938,3,rsi14:35% | j:52% | vol_ratio:14%,55.6,57.8,43,55%±2,0.53,0.84,1.4,52.4,44.7,49.1,126,64,86,45.6
20,3,0.6757400120985628,3,rsi14:35% | j:51% | vol_ratio:14%,59.7,57.6,43.2,58%±2,0.53,0.84,1.4,53.4,45.2,48.7,124,66,88,45.6
20,5,0.7054936871952768,3,rsi14:34% | j:52% | vol_ratio:14%,60.8,55.6,43.2,58%±3,0.53,0.84,1.4,53.6,46.1,47.8,120,72,88,44.1
5,10,0.9267914979221761,1,rsi14:24% | j:63% | vol_ratio:13%,52.8,54,54.9,55%±2,0.46,0.73,1.38,56.3,49.3,49.7,193,87,144,43.6
