窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
10,15,0.7308304948110175,1,rsi14:54% | j:6% | vol_ratio:41%,55.1,56.2,47.6,55%±0,0.49,0.74,1.43,50.5,50.5,49.3,276,112,170,47
10,3,0.6512734285244854,1,rsi14:53% | j:0% | vol_ratio:47%,57.3,55.8,48.8,57%±2,0.48,0.73,1.43,53.1,46.9,47.9,262,104,166,46.2
20,3,0.69494242525977,1,rsi14:50% | j:5% | vol_ratio:46%,51.2,56.5,48.5,51%±3,0.49,0.74,1.44,53.5,47.1,51.8,201,85,130,45.9
20,10,0.7065675573060377,1,rsi14:42% | j:6% | vol_ratio:52%,52.8,56.1,49.6,53%±3,0.49,0.74,1.44,53.9,48,53.1,195,82,125,45.3
30,5,0.6746042680942549,1,rsi14:59% | j:0% | vol_ratio:41%,51.8,55.8,50,53%±2,0.49,0.75,1.43,48.1,48.9,49.6,195,77,110,44.7
