窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
5,5,0.779075671383256,5,close:0% | sig_rsizone:61% | sig_volbreak:39%,76.3,90,80,80%±1,1.17,1.94,2.4,73.7,90.3,78.1,38,10,20,59.6
5,3,0.7733027573130458,5,close:11% | sig_rsizone:48% | sig_volbreak:41%,86.1,83.3,81.8,83%±4,0.53,1.49,2.51,85.2,92.5,84.5,36,12,22,55.2
10,3,0.7463814913498897,5,close:10% | sig_rsizone:51% | sig_volbreak:39%,62.5,70,60,65%±3,0.38,1.21,2.12,70.9,72.9,67.6,56,20,50,48.1
5,10,0.7814533763420727,5,close:8% | sig_rsizone:50% | sig_volbreak:43%,68,66.7,58.8,70%±3,2.01,2,2.28,68,73.1,69.6,50,21,34,45.4
30,3,0.7826125255068312,5,close:31% | sig_rsizone:42% | sig_volbreak:28%,54.8,58.3,52,56%±5,-0.02,-0.11,1.65,53.2,55.4,63.5,73,36,50,42.2
