窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
5,3,0.8483940979028801,5,rsi14:61% | j:20% | vol_ratio:19%,58.3,56.2,57.4,58%±0,0,0.02,1.48,70.5,74.1,75.5,168,80,108,45.3
20,3,0.7919165021718354,3,rsi14:34% | j:34% | vol_ratio:32%,56.1,58,56.6,58%±2,0.12,0.51,1.6,58.8,60.9,67.1,98,50,83,44.2
30,3,0.8200117450329963,5,rsi14:43% | j:25% | vol_ratio:32%,59.7,58.1,57.9,59%±4,-0.02,-0.08,1.46,47.6,57.8,62.2,62,43,76,43.3
5,5,0.8486082254820305,5,rsi14:56% | j:6% | vol_ratio:38%,52.7,52.9,54.2,53%±1,-0.04,-0.09,1.44,63.2,65.9,67,220,102,144,43.3
5,15,0.8218589040390711,5,rsi14:41% | j:26% | vol_ratio:33%,51,52,50,52%±1,0,0,1.47,56.6,56.4,49.5,202,100,166,42.3
