窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
20,10,0.6661202274143095,3,rsi14:35% | j:51% | vol_ratio:14%,64.5,67.7,52.4,65%±2,0.35,0.6,1.41,55.5,50,54.5,124,62,84,55.4
20,3,0.6507046027095834,3,rsi14:34% | j:52% | vol_ratio:14%,63.1,67.7,52.4,64%±3,0.35,0.6,1.42,55.3,50.7,54,122,62,82,55.4
20,5,0.6552723742253672,3,rsi14:35% | j:52% | vol_ratio:13%,63.9,65,47.7,64%±2,0.35,0.61,1.44,54.5,48,53.5,122,60,86,52.4
10,15,0.7273801796752265,3,rsi14:29% | j:58% | vol_ratio:12%,57.3,62.2,55.7,58%±0,0.56,0.84,1.5,56.8,51.5,54.4,199,74,115,50.8
10,5,0.7024819566518543,3,rsi14:49% | j:51% | vol_ratio:0%,56.6,59,55.9,56%±2,0.37,0.67,1.32,58.3,52.1,53.7,159,83,111,48.3
