窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
30,3,0.8959358019747691,5,rsi14:81% | j:19% | vol_ratio:0%,70.5,70.6,49.2,69%±6,0.71,1.16,1.4,60.1,39.6,42,44,34,59,53.8
30,15,0.6900323262218854,5,rsi14:80% | j:19% | vol_ratio:0%,61.3,66.7,46.3,62%±1,0.56,0.94,1.37,58.1,40.5,41.8,62,36,67,50.3
5,3,0.720200776073095,5,rsi14:71% | j:18% | vol_ratio:11%,45.7,59.6,52.9,50%±5,0.38,0.67,1.34,51.3,50.9,52.5,140,57,85,46.7
30,5,0.6981634518776759,5,rsi14:45% | j:54% | vol_ratio:2%,57.1,62.5,42,59%±1,0.42,0.7,1.34,56.7,44.6,42.3,70,32,69,45.3
30,10,0.6897442061609664,5,rsi14:79% | j:19% | vol_ratio:2%,62.1,60,42.5,60%±3,0.58,0.97,1.37,58.1,41.6,40.3,66,40,73,44.6
