窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
5,5,0.9106913407911781,5,close:78% | sig_rsizone:14% | sig_volbreak:7%,61.3,76.9,57.1,55.6,63.3,50,31,26,28,57.9
10,3,0.720098533958453,5,close:47% | sig_rsizone:17% | sig_volbreak:36%,61.2,66.7,51.5,53.6,53.4,41.9,85,69,97,54.9
10,5,0.7047150136108226,5,close:44% | sig_rsizone:21% | sig_volbreak:35%,61.2,66.2,53.5,52.4,52.3,41.6,85,65,99,54
10,15,0.7033500894716167,5,close:44% | sig_rsizone:19% | sig_volbreak:37%,58.4,57.1,53.3,54.2,48.5,42.3,89,70,105,45.5
5,3,0.6667293577545601,5,close:50% | sig_rsizone:7% | sig_volbreak:43%,53.8,52.8,52.4,55.3,49.7,53,195,125,185,44.1
