窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
20,3,0.7769147824710531,1,rsi14:38% | j:8% | vol_ratio:53%,50,61,50.8,52%±2,-0.03,-0.05,1.76,48.7,48.5,54.8,164,82,122,50.2
20,15,0.6949727079569037,1,rsi14:45% | j:6% | vol_ratio:50%,51.8,60.5,49.6,54%±2,-0.06,-0.11,1.76,49.1,49.7,52.7,197,86,123,49.9
10,10,0.8455494566593502,5,rsi14:50% | j:4% | vol_ratio:46%,56.6,57.8,46.2,56%±2,-0.05,-0.09,1.74,46.4,49.2,48.1,226,109,156,48.4
20,10,0.7137570165700152,1,rsi14:51% | j:3% | vol_ratio:46%,49.3,57.5,51.2,51%±2,-0.06,-0.11,1.76,49.9,47.7,52.9,203,87,129,47
10,3,0.6566801066841293,1,rsi14:38% | j:2% | vol_ratio:59%,55.6,54.5,50.6,54%±1,-0.06,-0.11,1.75,52.5,50.5,47.1,268,110,160,45.2
