窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
10,3,0.8008869545505953,5,rsi14:20% | j:28% | vol_ratio:52%,61.4,60.9,42.5,57,58.8,46.5,132,115,160,51.7
10,15,0.81681531673416,5,rsi14:13% | j:32% | vol_ratio:55%,62.9,60.2,44.7,56.2,55.8,47.8,132,118,152,51.2
10,5,0.8169771228845699,5,rsi14:14% | j:31% | vol_ratio:55%,63.8,58.6,44,57.2,54.6,47.1,130,116,150,49.5
10,10,0.8080802378997459,5,rsi14:15% | j:31% | vol_ratio:54%,62.5,56.8,43.2,58.4,56,46.6,128,118,148,47.8
20,3,0.8188861328743926,5,rsi14:23% | j:24% | vol_ratio:54%,55.8,56.6,49.4,54.7,51,49,52,76,89,45.4
