窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
5,10,0.6837543323682073,3,rsi14:52% | j:38% | vol_ratio:10%,57.9,57.8,53.5,59%±1,0.88,1.34,1.52,55.6,57.2,51.1,309,147,185,49.7
5,15,0.6769783129768,3,rsi14:54% | j:36% | vol_ratio:10%,57.9,57.8,54.5,58%±1,0.88,1.34,1.52,55.2,57.2,51.1,311,147,187,49.7
5,5,0.6500464770300006,3,rsi14:51% | j:39% | vol_ratio:10%,57.7,55.6,52.4,58%±1,0.88,1.34,1.52,55.8,56.2,50.9,305,151,185,47.7
5,3,0.6833734557003146,3,rsi14:50% | j:39% | vol_ratio:11%,57.2,55.6,52.9,57%±1,0.88,1.34,1.52,55.5,57,50.4,313,151,187,47.7
30,3,0.7273036189576998,3,rsi14:42% | j:53% | vol_ratio:6%,52.8,59,45,55%±2,0.88,1.33,1.53,52.2,42.3,45,144,61,109,46.5
