窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
5,5,0.8267335086012272,3,close:50% | sig_rsizone:49% | sig_volbreak:0%,74.1,72.1,60.7,74%±2,0.42,0.83,1.37,74,74.6,70.7,85,43,89,57.3
5,10,0.869025965432883,3,close:54% | sig_rsizone:35% | sig_volbreak:10%,62.5,70.6,54.3,65%±3,0.51,0.6,1.42,62.6,65.8,61.1,96,51,81,57
5,3,0.7935338899851326,1,close:44% | sig_rsizone:46% | sig_volbreak:10%,81.9,67.7,56.1,76%±3,0.26,0.86,1.62,80.3,74.6,72.6,83,65,98,55.6
20,3,0.8328965733104932,3,close:52% | sig_rsizone:45% | sig_volbreak:3%,60.1,59.6,57.6,60%±0,-0.01,-0.03,1.38,61.5,64.3,68,203,104,144,50
10,3,0.7755444332692749,1,close:37% | sig_rsizone:55% | sig_volbreak:7%,60.8,60,57.3,60%±2,0.1,0.39,1.43,68.9,71.3,73.2,166,90,124,49.7
