窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
10,15,0.7506465230139674,3,rsi14:6% | j:45% | vol_ratio:49%,50.8,57,48.2,52%±1,0.49,0.74,1.43,51.5,46.7,48.5,252,121,164,48.1
10,3,0.7316482200205823,3,rsi14:42% | j:47% | vol_ratio:12%,50.8,55.8,53.4,53%±2,0.49,0.74,1.43,52.2,49,48.2,238,120,161,46.9
5,10,0.7851610315277846,3,rsi14:41% | j:52% | vol_ratio:7%,52.1,55.3,54,53%±1,0.49,0.74,1.43,52.6,55.2,50.9,317,132,189,46.8
30,3,0.8090045005674337,5,rsi14:44% | j:26% | vol_ratio:30%,50,57.9,44.2,52%±2,0.56,0.84,1.49,49.5,44.9,48.1,102,57,95,45
5,3,0.6740734867987371,3,rsi14:38% | j:57% | vol_ratio:5%,53.5,53.5,53.6,53%±0,0.49,0.74,1.43,52.5,55.2,53.1,327,129,181,44.9
