窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
5,3,0.7192134225978585,1,rsi14:8% | j:81% | vol_ratio:11%,53.4,60.3,53.2,55%±1,-0.15,-0.3,2.78,51.9,52.9,50,320,141,201,52
20,3,0.7713730153667315,1,rsi14:10% | j:50% | vol_ratio:40%,45.3,60.7,49.6,51%±4,-0.14,-0.27,2.8,45.5,45.8,49,179,84,119,50
5,15,0.7001598881504897,1,rsi14:10% | j:76% | vol_ratio:14%,54.6,58.3,53.4,55%±1,-0.15,-0.3,2.78,52.3,52.3,50.7,315,139,204,50
5,10,0.7134946392907731,1,rsi14:10% | j:76% | vol_ratio:14%,54.6,58.3,53.4,55%±1,-0.15,-0.3,2.78,52.3,52.3,50.7,317,139,204,50
5,5,0.7155554395189624,1,rsi14:5% | j:81% | vol_ratio:14%,53.5,57.9,52.6,54%±1,-0.15,-0.3,2.78,51.1,52,50.2,297,133,215,49.4
