窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
10,5,0.7615604623894883,1,rsi14:36% | j:2% | vol_ratio:62%,55.7,60.9,47.5,57%±1,1.54,2.65,3.41,53.3,52.5,49.1,264,110,160,51.6
10,3,0.7887779935689692,1,rsi14:41% | j:3% | vol_ratio:56%,56.4,60.4,47.3,57%±1,1.54,2.65,3.41,53.5,51.8,48.2,266,106,165,50.9
10,15,0.6996355412108161,1,rsi14:39% | j:4% | vol_ratio:57%,55.6,59.8,47.9,56%±0,1.54,2.65,3.41,53.1,51.5,48.9,270,102,165,50.1
10,10,0.799365243575588,1,rsi14:35% | j:2% | vol_ratio:63%,55.6,58.9,48.7,56%±1,1.54,2.65,3.41,52.9,51.1,49.3,266,112,154,49.7
20,3,0.6912550644554984,1,rsi14:87% | j:13% | vol_ratio:0%,53.5,58.8,44.3,55%±2,1.54,2.66,3.41,48.6,52.1,46.6,170,102,149,49.1
