窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
5,3,0.9061285604647191,5,rsi14:33% | j:22% | vol_ratio:45%,61.4,63.2,54.4,61%±1,-0.04,-0.17,1.28,74.8,76.6,75.4,363,144,252,55.1
10,3,0.9383142860263914,5,rsi14:33% | j:22% | vol_ratio:45%,70.7,62.4,58.5,67%±4,0.05,0.23,1.3,68.4,63.4,68.3,116,93,159,52.2
5,5,0.9177901784955209,5,rsi14:30% | j:22% | vol_ratio:49%,58.8,57.7,53.3,58%±1,-0.08,-0.23,1.26,68.9,69.1,68.8,447,196,323,50.7
30,3,0.7918366122229719,5,rsi14:49% | j:15% | vol_ratio:36%,52,58.6,55.5,54%±2,-0.04,-0.19,1.24,51,62.4,56.9,298,145,209,50.5
10,5,0.9363366966732255,5,rsi14:29% | j:24% | vol_ratio:46%,60,57.9,57.5,59%±3,0.18,0.47,1.37,63.6,59.5,63.1,140,107,167,48.5
