窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
5,15,0.7596105568478847,5,rsi14:15% | j:38% | vol_ratio:7% | close:39%,51.3,64.8,47.3,56%±4,0.89,1.35,1.53,53.1,58.2,48,298,125,188,56.1
5,10,0.7832525205898333,5,rsi14:15% | j:37% | vol_ratio:7% | close:41%,52,63.4,45.2,56%±3,0.89,1.35,1.53,53.1,57.8,47.6,304,123,188,54.6
5,5,0.74474753471057,5,rsi14:16% | j:39% | vol_ratio:6% | close:39%,52,62.2,46,56%±3,0.89,1.36,1.53,52.2,55.9,46.4,298,119,202,53.2
30,10,0.7871238888697881,5,rsi14:18% | j:37% | vol_ratio:6% | close:39%,50,62.1,43.2,55%±3,0.89,1.35,1.53,50.8,48.7,44.5,136,58,88,49.2
5,3,0.8745420680769908,1,rsi14:22% | j:29% | vol_ratio:14% | close:35%,54,56.7,55.6,55%±1,0.9,1.36,1.53,53.2,51.3,52.2,289,141,198,48.5
