窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
20,3,0.7234850149045124,5,rsi14:28% | j:21% | vol_ratio:25% | close:26%,53.2,60.9,62.5,56%±4,61.1,59.4,72,111,46,72,46.5
30,3,0.7657630798944608,1,rsi14:45% | j:17% | vol_ratio:28% | close:9%,59.3,60,61.4,61%±4,48.1,60.9,63,81,45,70,45.5
5,3,0.7244758962495242,5,rsi14:28% | j:21% | vol_ratio:25% | close:26%,59,54.9,56,57%±1,69.9,72.3,73.8,178,82,116,44.1
10,3,0.8749927123733169,1,rsi14:36% | j:23% | vol_ratio:36% | close:5%,53,55.4,57.9,54%±1,63.5,68.4,67.4,134,74,107,44.1
5,15,0.714101387772061,5,rsi14:23% | j:14% | vol_ratio:29% | close:34%,51,52.8,52.3,52%±1,57.1,55.9,51.1,192,108,172,43.4
