窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
5,3,0.6876253732993434,1,rsi14:39% | j:35% | vol_ratio:25% | close:1%,60.5,70,57.4,61%±3,76.5,84.7,70.1,38,10,47,39.7
30,3,0.6627900807032985,1,rsi14:49% | j:19% | vol_ratio:26% | close:6%,54.8,70,68.8,62%±5,63.4,64,69.8,31,10,16,39.7
10,3,0.8477506064648296,3,rsi14:39% | j:33% | vol_ratio:25% | close:2%,54.8,62.5,55.2,58%±2,72.2,75,66.7,42,16,29,38.6
5,10,0.7401507968812534,5,rsi14:20% | j:27% | vol_ratio:36% | close:18%,53.8,55.6,53.5,54%±0,57.2,68.8,58.8,65,27,43,37.3
5,15,0.7307935951286889,3,rsi14:10% | j:16% | vol_ratio:58% | close:16%,53.1,53.3,53.3,53%±1,61.7,71.2,52.5,64,30,45,36.1
