窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
10,15,0.7705452637933142,1,rsi14:35% | j:1% | vol_ratio:64%,54.1,59.6,47.5,55%±1,0.88,1.34,1.53,52.3,50.2,49.9,268,104,158,50
20,15,0.7249023694046093,3,rsi14:6% | j:13% | vol_ratio:80%,47.6,58.4,50,51%±3,0.89,1.35,1.52,52.4,50.5,50.8,208,101,140,48.7
10,5,0.6512905562522024,1,rsi14:53% | j:0% | vol_ratio:47%,56.5,57.7,46.4,57%±1,0.88,1.33,1.53,53.8,46.9,47.7,262,104,166,48.1
10,3,0.8052608040674653,1,rsi14:57% | j:0% | vol_ratio:43%,57.3,56.7,45.1,58%±2,0.89,1.35,1.53,53,47,47.8,260,104,164,47.1
10,10,0.7445773141632597,3,rsi14:13% | j:45% | vol_ratio:42%,54.9,55.1,47.5,56%±2,0.89,1.35,1.53,50.9,47.5,50.9,244,107,162,45.7
