窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
10,10,0.9261604620869345,1,close:23% | rsi14:64% | j:13%,58.6,59.3,55,49,57.4,53.4,111,91,131,49.1
10,3,0.9165198310745059,1,close:24% | rsi14:72% | j:4%,60.3,58.3,55,52,57.4,53.3,126,103,131,48.6
10,15,0.8953625518089798,1,close:18% | rsi14:44% | j:38%,55.8,56,49.3,49.9,59,48.4,147,109,152,46.6
10,5,0.915800390098535,1,close:19% | rsi14:50% | j:31%,58.4,56.1,48.5,48.1,60.3,48,125,82,134,45.3
20,3,0.9131271816150421,3,close:24% | rsi14:38% | j:38%,61.5,59.1,51.8,56.3,51.5,50.8,52,44,83,44.4
