窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
20,15,0.6904177552638935,3,close:47% | sig_macross:9% | sig_rsizone:37% | sig_volbreak:7%,58.9,65,44.8,61%±3,0.95,1.43,1.58,50.7,49.8,47.7,163,80,125,54.1
20,3,0.682504943173587,3,close:48% | sig_macross:9% | sig_rsizone:33% | sig_volbreak:10%,57,63.7,45.7,60%±3,0.93,1.4,1.54,50.8,49.8,48.9,165,80,127,52.8
30,15,0.768347268240279,3,close:39% | sig_macross:12% | sig_rsizone:30% | sig_volbreak:19%,58.7,64.2,49.4,60%±3,0.91,1.28,1.59,58.3,55.6,45.5,104,53,83,50.7
20,5,0.763831008390465,1,close:62% | sig_macross:9% | sig_rsizone:22% | sig_volbreak:7%,57.5,58.5,49.1,58%±4,0.99,1.48,1.6,53.8,53.1,48.9,167,82,108,47.7
20,10,0.6990800690698528,3,close:42% | sig_macross:11% | sig_rsizone:34% | sig_volbreak:12%,58.3,57.1,46,60%±3,0.96,1.43,1.57,52.2,49.8,48.5,151,70,113,45.5
