窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
5,3,0.7062535495253095,3,rsi14:18% | j:49% | vol_ratio:33%,53,56.8,50.5,55%±1,0.87,1.33,1.53,51.7,48.4,50.6,298,148,212,48.7
5,10,0.702668530646443,3,rsi14:19% | j:48% | vol_ratio:34%,53.4,56,50.5,55%±0,0.87,1.33,1.53,51.3,49,51.2,292,150,214,48
5,15,0.6906310269742768,3,rsi14:16% | j:53% | vol_ratio:31%,53,55.9,50.9,54%±1,0.87,1.33,1.53,52.9,48,49.9,300,152,212,48
10,3,0.7002469331378285,1,rsi14:21% | j:34% | vol_ratio:45%,51.9,57.1,49.4,54%±2,0.89,1.35,1.53,52.9,47.1,50.7,270,105,172,47.6
5,5,0.712776613715469,3,rsi14:18% | j:46% | vol_ratio:36%,54.8,54.9,50.9,55%±1,0.87,1.33,1.53,51.4,48,51,290,144,216,46.7
