窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
5,15,0.7815618249224758,5,rsi14:6% | j:73% | vol_ratio:20%,56,56.8,59.9,57%±2,0.87,1.32,1.53,53.5,54.9,54.9,291,139,197,48.5
5,10,0.7831541722994826,5,rsi14:7% | j:72% | vol_ratio:20%,54.8,56.8,58.2,56%±1,0.87,1.33,1.52,52.4,56.1,53.4,279,139,213,48.5
5,5,0.7824008823917353,5,rsi14:4% | j:72% | vol_ratio:24%,53.4,55.7,56,55%±1,0.88,1.33,1.52,52.4,51,53.5,283,131,209,47.2
5,3,0.7830819552281361,5,rsi14:9% | j:70% | vol_ratio:20%,55,55.3,56.2,56%±1,0.88,1.33,1.52,52.3,55.2,53.3,271,141,217,47.1
20,5,0.7740005713591964,1,rsi14:22% | j:52% | vol_ratio:27%,46.4,54.5,49.6,49%±2,0.87,1.31,1.54,51.8,42.8,49,166,88,117,44.2
