窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
30,3,0.796714810189331,3,close:35% | rsi14:38% | j:27%,50,60.7,44.2,54%±4,0.89,1.35,1.53,52.5,50.7,46.3,140,61,113,48.1
5,3,0.8026325513468127,3,close:14% | rsi14:44% | j:42%,55,55.5,49.2,55%±1,0.88,1.34,1.53,53.7,46.9,48.8,291,128,189,46.8
10,10,0.8677750857380642,3,close:26% | rsi14:21% | j:53%,62.3,56.2,49.7,60%±1,0.89,1.35,1.55,56.9,44.3,48.4,239,105,173,46.6
10,5,0.8810181453820949,3,close:27% | rsi14:23% | j:50%,61.9,55.7,46.7,60%±1,0.87,1.32,1.54,56.6,44.9,47.8,231,97,167,45.8
30,10,0.7787201062612984,3,close:32% | rsi14:36% | j:32%,48.1,56.9,46.2,50%±2,0.87,1.32,1.52,52,48.4,47,162,65,117,44.8
