窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
30,15,0.8314776997591866,5,close:22% | sig_rsizone:56% | sig_volbreak:21%,62.5,62.8,55.6,64%±3,0.75,1.38,1.28,59.7,49.1,44.8,64,43,45,47.9
30,3,0.8589311114659517,5,close:30% | sig_rsizone:53% | sig_volbreak:17%,72.7,62.5,56,70%±3,0.85,1.52,1,61.2,49.3,40.8,44,40,25,47
30,5,0.8435911295954263,5,close:4% | sig_rsizone:77% | sig_volbreak:19%,60.9,60.4,52.4,63%±3,0.63,1.22,1.27,58,53.7,52.5,64,53,42,46.9
30,10,0.8316191858689966,5,close:11% | sig_rsizone:70% | sig_volbreak:18%,59,59.3,55.8,61%±2,0.75,1.48,1.29,55.4,52.9,51.9,78,59,43,46.6
20,3,0.8221694579970587,5,close:11% | sig_rsizone:59% | sig_volbreak:30%,62.1,60,55.8,62%±2,0.67,1.52,1.62,52.4,50,47.1,66,30,43,42.3
