窗口,预测天,阈值,TopK,因子权重,训练段命中率%,验证段命中率%,测试段命中率%,CV均值±std,均收益%,Sharpe,盈亏比,训练原始%,验证原始%,测试原始%,训练信号段,验证信号段,测试信号段,验证Wilson
5,3,0.8880596091089623,5,close:38% | sig_macross:9% | sig_rsizone:41% | sig_volbreak:11%,80.6,91.7,86.4,84%±1,0.24,0.8,2,84.4,89.9,83.5,36,12,22,64.6
10,3,0.8922741121735743,5,close:46% | sig_macross:10% | sig_rsizone:31% | sig_volbreak:13%,60,85.7,66.7,67%±10,0.35,1.02,2.88,69,77.2,59.1,20,14,30,60.1
20,5,0.8141928194733201,1,close:46% | sig_macross:11% | sig_rsizone:29% | sig_volbreak:13%,45.9,73.1,57.8,54%±6,0.15,0.33,1.99,52.7,64.5,63.1,74,26,45,53.9
5,5,0.8533102694668961,5,close:42% | sig_macross:7% | sig_rsizone:37% | sig_volbreak:14%,78.9,78.6,73.1,78%±2,1.1,1.88,2.31,79.5,83.1,76,38,14,26,52.4
5,10,0.7069891748036946,5,close:14% | sig_macross:37% | sig_rsizone:32% | sig_volbreak:17%,68.3,65.6,55,68%±2,1.19,1.39,2.09,65.5,68.1,65.5,60,32,60,48.3
